layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,expert_220_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_220_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_220_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_221_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_221_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_221_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_221_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_222_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_222_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_222_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_222_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_223_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_223_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_223_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_223_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_224_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
